uid	time	tags	text
dnzStockInvest	1337344050	job,stocks,investment	stocks investment job - financial analyst - investment  $0 - 22/hr  - http://t.co/cM8hoU00 job s
STOCKSTIPS	1337343962	bse,tips,stocks	india set to overtake us as facebooks largest market stocks tips bse
STOCKSTIPS	1337343962	bse,tips,stocks	mahindra satyam gains on profit recovery stocks tips bse
STOCKSTIPS	1337343961	bse,tips,stocks	investors brace for facebook debut on wall street stocks tips bse
fixedratebonds	1337343924	stocks,pennystock	japans nikkei falls 3% to 8608 41 pennystock stocks pennystock s http://t.co/NWxoZP8a
CloudStocks	1337343606	tcn,stocks,cloud	facebook debut sets pace for tech ipos to come  heavy demand for the facebook  nasdaq fb  ip    http://t.co/bIXylGP8 cloud stocks tcn
IsabelSignals	1337343585	nasdaq,stocks,ebay	isabel is long on ebay at nasdaq   our profit -2 69%  target price $46 55  more trade signals? http://t.co/Dol8bZdF stocks
dow_live	1337343561	stocks,dow	dow live  12442 49 its -156 06 points down online stock trading system at http://t.co/a2jfy6EI dow stocks
nasdaq_live	1337343478	nasdaq,stocks	nasdaq live  2813 69 its -60 35 points down candlestick stock charts at http://t.co/20Eycf8M nasdaq stocks
PinkStocks101	1337343439	stocks,pennystocks	pennystocks stocks mark hulbert  what dow theory says about correction  you can’t say that the dow jones transportation average did
PennyDOW1	1337343439	stocks,pennystocks	pennystocks stocks mark hulbert  what dow theory says about correction  you can’t say that the dow jones transportation average did
HeftyStocks	1337343439	stocks,pennystocks	pennystocks stocks mark hulbert  what dow theory says about correction  you can’t say that the dow jones transportation average did
SirPaulsen	1337343406	stocks	expecting a slight correction tmrw  90+ pts   seems like too much off the top but i expect $fb will start off well  stocks
cnnback	1337343307	stocks	stocks end at 4-month lows  [12/05/18 05 15 07 utc]
STOCKSTIPS	1337343243	bse,tips,stocks	sanjeev0107  buy sintex industries ltd above 52 10 target 70 00 for 1 month stocks tips bse
STOCKSTIPS	1337343243	bse,tips,stocks	rushabh  buy fertilizers & chemicals travancore ltd above 30 00 target 37 00 for 2 weeks stocks tips bse
STOCKSTIPS	1337343243	bse,tips,stocks	dnebh  buy venkys  india  ltd above 329 50 target 450 00 for 1 month stocks tips bse
STOCKSTIPS	1337343242	bse,tips,stocks	dnebh  buy selan explorations technology ltd above 270 95 target 450 00 for 9 months stocks tips bse
STOCKSTIPS	1337343242	bse,tips,stocks	dnebh  buy ptc india financial services ltd above 14 90 target 27 00 for 3 months stocks tips bse
STOCKSTIPS	1337343242	bse,tips,stocks	chandan13june  buy icici bank ltd below 771 90 target 785 00 for intraday stocks tips bse
STOCKSTIPS	1337343242	bse,tips,stocks	dnebh  buy pipavav defence & offshore engineering company ltd above 82 85 target 109 80 for 1 month stocks tips bse
STOCKSTIPS	1337343241	bse,tips,stocks	chandan13june  buy hindalco industries ltd below 106 60 target 109 00 for intraday stocks tips bse
topjobs4all	1337343212	bse,stocks,nse	stocks bse nse are credit cards good for you?    business line http://t.co/Fv2pxIFP
greenietea	1337343185	stocks,bbc,onlineinvesting,onlinetrading	rt @8securities   @8securities story in the bbc today http://t.co/wabuRuSw bbc onlineinvesting onlinetrading stocks
fixedratebonds	1337343047	stocks,pennystock	mark hulbert  what dow theory says about correction pennystock stocks pennystock s http://t.co/RlBawqbB
cnnback	1337343006	stocks	stocks close at lowest levels in more than 3 months on concerns about europe  dow drops 33 points  [12/05/18 05 10 06 utc]
STOCKSTIPS	1337343003	bse,tips,stocks	facebooks ipo one of worlds largest stocks tips bse
STOCKSTIPS	1337343003	bse,tips,stocks	facebook sets ipo price at $38 stocks tips bse
livesensexstock	1337342912	sensex,bse,stocks	sensex live   15859 12 change -211 36  -1 32 %  nifty 50 at http://t.co/SIYFs3lm sensex bse stocks
ryandurso	1337342895	stocks,facebook	here it is! https://t.co/40C8Mmu7 facebook @facebook stocks
bored2tears	1337342760	stocks,tech	amazon said planning 10 1-inch kindle fire for q3  http://t.co/X89URqCm $amzn 5/17 close  218 36 stocks $aapl tech
fixedratebonds	1337342736	stocks,pennystock	http://t.co/tmCzEyY5 fate of lynas rare earths plant to be taken up during malaysia pennystock stocks pennystock s http://t.co/cX3gIzoe
LifeIsTooCrazy	1337342686	banking,stocks,usd,currencies,position	usd very strong run lately many 3 month highs time to buy currencies ? some banking stocks fallen 20%+ time to start building position ?
StockTweeets	1337342685	banking,stocks,usd,currencies,position	usd very strong run lately many 3 month highs time to buy currencies ? some banking stocks fallen 20%+ time to start building position ?
TitanBlackHK	1337342683	banking,stocks,usd,currencies,position	usd very strong run lately many 3 month highs time to buy currencies ? some banking stocks fallen 20%+ time to start building position ?
topjobs4all	1337342673	bse,stocks,nse	stocks bse nse bluestar ltd announced its q4fy12 & fy12 results    microsec research http://t.co/DxsjJ7HG
MR_FUERTE	1337342622	stocks,facebook	facebook stocks http://t.co/7iG84d3N
x_stocks	1337342463	stocks,trading	facebook ipo  here’s why you shouldn’t buy yet trading stocks http://t.co/GZ8qJ5iC
IsabelSignals	1337342384	nasdaq,chrobinson,stocks	isabel is short on chrobinson at nasdaq   our profit 6 75%  target price $54 82  more trade signals? http://t.co/Dol8bZdF stocks
bored2tears	1337342379	banks,stocks	wsj  jpmorgans bad staffing decisions likely exacerbated disastrous trades  http://t.co/HWK1kkvv $jpm banks stocks
costas_papa	1337342232	stocks,apple	apple stock seen hitting $2000 by the end of 2015 http://t.co/Lss6137X apple stocks
STOCKSTIPS	1337342232	bse,tips,stocks	dnebh  buy wipro ltd above 389 15 target 540 00 for 3 months stocks tips bse
STOCKSTIPS	1337342232	bse,tips,stocks	chitragupt  sell bharat forge ltd above 312 70 target 300 00 for stbt stocks tips bse
STOCKSTIPS	1337342231	bse,tips,stocks	h1g29  buy hindalco industries ltd above 107 00 target 160 00 for 1 month stocks tips bse
STOCKSTIPS	1337342231	bse,tips,stocks	h1g29  buy jaiprakash associates ltd above 61 70 target 100 00 for 6 months stocks tips bse
STOCKSTIPS	1337342231	bse,tips,stocks	h1g29  buy gmr infrastructure ltd above 19 40 target 38 00 for 9 months stocks tips bse
STOCKSTIPS	1337342231	bse,tips,stocks	rushabh  buy farry industries ltd above 23 00 target 27 00 for 2 weeks stocks tips bse
STOCKSTIPS	1337342230	bse,tips,stocks	chitragupt  sell state bank of india below 1868 30 target 1832 75 for stbt stocks tips bse
STOCKSTIPS	1337342230	bse,tips,stocks	h1g29  buy suzlon energy ltd above 20 10 target 35 00 for 6 months stocks tips bse
STOCKSTIPS	1337342228	bse,tips,stocks	h1g29  buy bombay dyeing & manufacturing company ltd above 417 00 target 440 00 for 2 weeks stocks tips bse
STOCKSTIPS	1337342227	bse,tips,stocks	chitragupt  sell tata steel ltd above 401 00 target 380 00 for stbt stocks tips bse
ValueStocksNow	1337342056	stocks,tech	reports  hp may cut 25000 jobs - nasdaq http://t.co/QKan8HgN $hpq tech stocks
STOCKSTIPS	1337341983	bse,tips,stocks	crucial support for the nifty is at 4853-4800-4766  gaba stocks tips bse
dow_live	1337341698	stocks,dow	dow live  12442 49 its -156 06 points down penny stock chart at http://t.co/iiMElOfj dow stocks
nasdaq_live	1337341635	nasdaq,stocks	nasdaq live  2813 69 its -60 35 points down earnings at http://t.co/OWRBGiOZ nasdaq stocks
STOCKSTIPS	1337341263	bse,tips,stocks	h1g29  buy cipla ltd above 317 00 target 327 00 for intraday stocks tips bse
STOCKSTIPS	1337341263	bse,tips,stocks	chitragupt  sell jindal steel & power ltd above 451 00 target 400 00 for intraday stocks tips bse
STOCKSTIPS	1337341263	bse,tips,stocks	h1g29  buy jet airways  india  ltd above 295 00 target 319 00 for intraday stocks tips bse
STOCKSTIPS	1337341263	bse,tips,stocks	mansha  sell housing development & infrastructure ltd above 60 85 target 56 00 for intraday stocks tips bse
STOCKSTIPS	1337341262	bse,tips,stocks	pssolanki27  buy titan industries ltd below 224 00 target 250 00 for 2 months stocks tips bse
STOCKSTIPS	1337341262	bse,tips,stocks	h1g29  buy state bank of india above 1877 85 target 1935 00 for intraday stocks tips bse
STOCKSTIPS	1337341262	bse,tips,stocks	h1g29  buy tilaknagar industries ltd above 55 00 target 56 65 for 5 days stocks tips bse
STOCKSTIPS	1337341262	bse,tips,stocks	chitragupt  sell larsen & toubro ltd above 1152 90 target 1100 00 for intraday stocks tips bse
STOCKSTIPS	1337341261	bse,tips,stocks	chitragupt  sell infosys ltd below 2313 65 target 2100 00 for intraday stocks tips bse
STOCKSTIPS	1337341261	bse,tips,stocks	chandan13june  buy reliance capital ltd below 285 30 target 291 00 for intraday stocks tips bse
Edelweissonline	1337341240	sensex,stocks	sensex hits 18-1/2-week low below 16000 http://t.co/AqD0kVmX sensex stocks
topjobs4all	1337341216	bse,stocks,nse	stocks bse nse hdfc balanced fund  invest    business line http://t.co/FVIVRHIo
topjobs4all	1337341202	bse,stocks,nse	stocks bse nse angel broking - consolidated construction consortium - ru4qfy2012 - result updates - pdf link http://t.co/3xsANc9R
IsabelSignals	1337341184	nasdaq,stocks,cerner	isabel is short on cerner at nasdaq   our profit 4 59%  target price $60 14  more trade signals? http://t.co/Dol8bZdF stocks
JarradSolomon	1337341160	stocks	t-minus ~10 hours for facebook  soon to be $fb  ipo-3rd largest in us history behind general motors and visa  predict a 2 bagger tom stocks
livesensexstock	1337341067	sensex,bse,stocks	sensex live   15906 25 change -164 23  -1 02 %  nifty tips provider at http://t.co/z7aFYH3b sensex bse stocks
WallStWatchDog	1337340931	stocks,nyse	insider trades in s&p 500 companies for may 16th http://t.co/UNv3C7ON nyse  k stocks
8securities	1337340766	stocks,bbc,onlineinvesting,onlinetrading	@8securities story in the bbc today http://t.co/wabuRuSw bbc onlineinvesting onlinetrading stocks
puregrowthcap	1337340580	emergingmarkets,stocks	emergingmarkets stocks subscribe to pure growth capitals youtube channel http://t.co/2Gwp4kOn
dnzStockInvest	1337340449	job,stocks,investment	stocks investment job - j2ee/java lead - http://t.co/OrWTBcfe job s
STOCKSTIPS	1337340245	bse,tips,stocks	chitragupt  sell dish tv india ltd above 59 50 target 55 00 for intraday stocks tips bse
STOCKSTIPS	1337340244	bse,tips,stocks	chitragupt  sell pantaloon retail  india  ltd above 134 55 target 130 00 for intraday stocks tips bse
STOCKSTIPS	1337340244	bse,tips,stocks	disa  buy tech mahindra ltd below 615 00 target 622 00 for intraday stocks tips bse
STOCKSTIPS	1337340244	bse,tips,stocks	mansha  buy advanta india ltd below 378 00 target 410 00 for 5 days stocks tips bse
STOCKSTIPS	1337340243	bse,tips,stocks	tushar  sell reliance industries ltd below 679 00 target 672 00 for intraday stocks tips bse
STOCKSTIPS	1337340243	bse,tips,stocks	chandan13june  buy bgr energy systems ltd above 280 45 target 285 00 for intraday stocks tips bse
STOCKSTIPS	1337340243	bse,tips,stocks	mansha  sell future capital holdings ltd above 130 50 target 120 00 for 5 days stocks tips bse
STOCKSTIPS	1337340242	bse,tips,stocks	ugeamol  sell pantaloon retail  india  ltd above 134 20 target 130 00 for stbt stocks tips bse
STOCKSTIPS	1337340242	bse,tips,stocks	disa  buy tech mahindra ltd below 615 00 target 6224 00 for intraday stocks tips bse
STOCKSTIPS	1337340242	bse,tips,stocks	subasingh  buy bharat heavy electricals ltd above 203 65 target 205 10 for intraday stocks tips bse
CapitalCFDs	1337340176	stocks	@TheATrader good call  there are plenty of stocks still forming higher lows but now that little bit cheaper
IsabelSignals	1337339984	nasdaq,stocks,apple	isabel is long on apple at nasdaq   our profit 17 61%  target price $688 25  more trade signals? http://t.co/Dol8bZdF stocks
dow_live	1337339842	stocks,dow	dow live  12442 49 its -156 06 points down picking penny stocks at http://t.co/SwjSAbdR dow stocks
fixedratebonds	1337339813	stocks,pennystock	outside the box  europe deposits hope in a central bank pennystock stocks pennystock s http://t.co/OGOY9Cby
nasdaq_live	1337339784	nasdaq,stocks	nasdaq live  2813 69 its -60 35 points down stock market at http://t.co/Dja7Zi2u nasdaq stocks
charts123	1337339683	stocks	underperformering asian stocks today  $scei $dang $jaso $yge $yoku $heat $clnt $tsl $sol http://t.co/JCryEjPP stocks
VegasBiLL	1337339647	investing,stocks,facebook	facebook ipo  heres why you shouldnt buy yet - http://t.co/3Eaohcn0 via @mashable facebook investing stocks
tradepips	1337339560	mkt,charts,stocks	bgz faz cmg ltm among charts to watch   it was certainly an ugly day on wall street on     http://t.co/lYJbgUiQ mkt stocks charts
Essy_M	1337339522	investing,stocks	investing stocks how to pick conservative stocks http://t.co/f1rJr0XX
STOCKSTIPS	1337339252	bse,tips,stocks	chandan13june  sell aban offshore ltd above 354 55 target 350 00 for intraday stocks tips bse
STOCKSTIPS	1337339252	bse,tips,stocks	pabitra8  sell hindustan construction company ltd below 18 70 target 18 10 for intraday stocks tips bse
livesensexstock	1337339212	sensex,bse,stocks	sensex live   15886 97 change -183 51  -1 14 %  markets live at http://t.co/akYpg4Wz sensex bse stocks
biz_start	1337339004	invest,penny,stocks	penny stocks invest how to invest in    http://t.co/QdTfNAIg invest penny stocks
topjobs4all	1337339001	bse,stocks,nse	stocks bse nse dish tv india limited  dish tv  announced its q4 fy2012 and fy2012 results    microsec research http://t.co/SJmZNGhi
biz_start	1337339000	penny,stocks	penny stocks to buy http://t.co/e0zoK1EI penny stocks
