uid	time	tags	text
IsabelSignals	1337675945	pfizer,stocks,dowjones	isabel is long on pfizer at dowjones   our profit -1 63%  target price $23 81  more trade signals? http://t.co/Dol8bZdF stocks
nasdaq_live	1337675893	nasdaq,stocks	nasdaq live  2847 21 its +68 42 points up stock market indicator at http://t.co/D4Dslaft nasdaq stocks
Pennystocks24	1337675774	pennystock,stock	$gwbu promoted by  pennystock gains at  21  may | 19 34 edt stock stock s pennystock s pennystock
Pennystocks24	1337675768	pennystock,stock	$gwbu promoted by  penny stocks universe at  21  may | 19 33 edt stock stock s pennystock s pennystock
Pennystocks24	1337675762	pennystock,stock	$gwbu promoted by  penny stocks expert at  21  may | 19 30 edt stock stock s pennystock s pennystock
fixedratebonds	1337675734	stocks,pennystock	asia markets  asia markets jump with tech firms gaining pennystock stocks pennystock s http://t.co/fgcGD5jY
MPEx1	1337675626	stocks,bitcoin,btc,trade	125 s bvps @ 0 00284999btc = 0 35624875btc  = 1 80 usd   trade bitcoin btc stocks
dow_live	1337675545	stocks,dow	dow live  12504 48 its +135 10 points up online stock market investing at http://t.co/M2O6nRHk dow stocks
juzmarc	1337675101	german,stocks,asian,oil	asian stocks oil  won gain on german growth pledge http://t.co/kYuFN6Sa via @BloombergNews
Investingterms	1337675069	stocks	stocks to watch  stocks to watch monday  yahoo chesapeake stocks
Pennystocks24	1337675049	pennystock,stock	$gwbu promoted by  secret pennystocks at  21  may | 19 21 edt stock stock s pennystock s pennystock
Pennystocks24	1337675042	pennystock,stock	$gwbu promoted by  hot otcs at  21  may | 19 21 edt stock stock s pennystock s pennystock
ClosingBellNews	1337674968	breakingnews,nasdaq,facebook,news,stocks,market,stock	facebook $fb stock slide puts new pressure on company  see story  breakingnews news stocks market nasdaq http://t.co/w3TxjMpc
ElmoreNicole	1337674815	stocks,finance	new article  small business valuation methods - low-risk investments - stocks finance - http://t.co/b49HbZHY
IsabelSignals	1337674741	stocks,homedepot,dowjones	isabel is short on homedepot at dowjones   our profit 4 99%  target price $36 71  more trade signals? http://t.co/Dol8bZdF stocks
djsunstorm	1337674719	stocks,warrenbuffett	http://t.co/umfTOKDc warrenbuffett stocks
onlyonecent	1337674675	fb,stocks	how i did not buy facebook stocks and how can you curb impulse stock purchase http://t.co/z9JvBh8t fb stocks
PlaygroundPosts	1337674665	stocks,market	ampio pharmaceuticals  nasdaq ampe   positioned for a rebound http://t.co/7ZBx6ZpF market stocks
charts123	1337674641	stocks	focus on asia  $yoku $kors $simo $fmcn $yge http://t.co/JCryEjPP stocks
livesensexstock	1337674494	sensex,bse,stocks	sensex live   16183 26 change 30 51  0 19 %  share and stock market at http://t.co/elDC2wso sensex bse stocks
mradamdavies	1337674461	stocks,business	facebook ipo was not our finest hour says nasdaq chief | http://t.co/ihjLR8Vt business stocks
marlontejada	1337674216	billion,stocks,wallstreet,market	watching the market staying in the billions billion billion s stocks wallstreet market http://t.co/zUh13nsq
tradingfloorcom	1337674210	stocks	indicators say equity markets could turn up  here are the charts  http://t.co/XMbq7uhD stocks
Invest5vercom2	1337674143	equities,stocks	http://t.co/xUmMTwXR equities stocks equities & stocks gane mucho y proteja su dinero al invertir en la bolsa http://t.co/eDoDbjUs rt?
donforexmarket	1337674108	news,stocks	stocks news singapore-index futures rise 1 pct http://t.co/iqcmvUuR news stocks
nasdaq_live	1337674042	nasdaq,stocks	nasdaq live  2847 21 its +68 42 points up penny stock companies at http://t.co/MXraXlUb nasdaq stocks
Pennystocks24	1337674013	pennystock,stock	$gear promoted by  i want pennystocks at  21  may | 19 05 edt stock stock s pennystock s pennystock
Pennystocks24	1337674008	pennystock,stock	$dgri promoted by  i want pennystocks at  21  may | 19 05 edt stock stock s pennystock s pennystock
Pennystocks24	1337674002	pennystock,stock	$cubv promoted by  i want pennystocks at  21  may | 19 05 edt stock stock s pennystock s pennystock
MPEx1	1337673997	stocks,bitcoin,btc,trade	150 s mpoe @ 0 00021419btc = 0 03212850btc  = 0 16 usd   trade bitcoin btc stocks
Pennystocks24	1337673996	pennystock,stock	$mmte promoted by  i want pennystocks at  21  may | 19 05 edt stock stock s pennystock s pennystock
Pennystocks24	1337673990	pennystock,stock	$ekdkq promoted by  i want pennystocks at  21  may | 19 05 edt stock stock s pennystock s pennystock
Pennystocks24	1337673985	pennystock,stock	$atig promoted by  i want pennystocks at  21  may | 19 05 edt stock stock s pennystock s pennystock
Pennystocks24	1337673979	pennystock,stock	$oreo promoted by  pennystock professor at  21  may | 19 02 edt stock stock s pennystock s pennystock
Pennystocks24	1337673973	pennystock,stock	$gear promoted by  pennystock crew at  21  may | 19 01 edt stock stock s pennystock s pennystock
Pennystocks24	1337673967	pennystock,stock	$tlfx promoted by  small cap universe at  21  may | 19 01 edt stock stock s pennystock s pennystock
Pennystocks24	1337673961	pennystock,stock	$gear promoted by  stock publisher at  21  may | 19 00 edt stock stock s pennystock s pennystock
svukusic	1337673851	stocks,investments,economy	market preview  the next big move economy stocks investments http://t.co/DvMjcX6P via @TheStreet
dow_live	1337673699	stocks,dow	dow live  12504 48 its +135 10 points up nasdaq stock picks at http://t.co/GKpzTzSP dow stocks
x_stocks	1337673661	stocks,trading	lawmakers frustrated in wal-mart corruption probe trading stocks http://t.co/Y8ekYqy3
carbonfiberxrm	1337673639	stocks,finance	rt tropical profits  cuba beverage  cubv  stock gains 22% http://t.co/QX77RmlY stocks finance
BusinessRodrigo	1337673607	tech,stocks,investor	9 fascinating facts about apples stock http://t.co/H5e891O7 via @zite stocks investor tech
IsabelSignals	1337673541	hp,stocks,dowjones	isabel is short on hp at dowjones   our profit 11 51%  target price $17 28  more trade signals? http://t.co/Dol3EpcL stocks
carbonfiberxrm	1337673355	stocks	stocks fyi!  hhii  demands your attention tuesday http://t.co/J1azVBEi http://t.co/u1MYshJb
msgarvin	1337673237	stocks	stocks stocks stage big rebound but trade falls - stocks staged a big-time bounce monday after suffering their wor    http://t.co/mbekypQ1
crushpennystock	1337673237	stocks	stocks stocks stage big rebound but trade falls - stocks staged a big-time bounce monday after suffering their wor    http://t.co/USffc3H5
dnzStockInvest	1337673233	job,stocks,investment	stocks investment job - sr  business analyst - treasury management / cash management - http://t.co/4IrZJG9j job s
EquityScholar	1337673038	stocks	stocks news thailand-thai airways falls on competition worries stocks
Pennystocks24	1337672887	pennystock,stock	$cubv promoted by  stock bomb at  21  may | 18 47 edt stock stock s pennystock s pennystock
Pennystocks24	1337672881	pennystock,stock	$cubv promoted by  stock lock and load at  21  may | 18 43 edt stock stock s pennystock s pennystock
fixedratebonds	1337672652	stocks,pennystock	http://t.co/tmCzEyY5 australia stocks rise as resources add to gains pennystock stocks pennystock s http://t.co/zFQc8MNM
livesensexstock	1337672637	sensex,bse,stocks	sensex live   16183 26 change 30 51  0 19 %  nse share market tips at http://t.co/qWBRSwyY sensex bse stocks
fixedratebonds	1337672589	stocks,pennystock	australias s&p/asx 200 rises 0 4% to 4089 20 pennystock stocks pennystock s http://t.co/gtevKFip
Pennystocks24	1337672522	pennystock,stock	$cubv promoted by  stock rock and roll at  21  may | 18 38 edt stock stock s pennystock s pennystock
Finance_Wire	1337672455	stocks,financial	check out the most widely held financial stocks $ntrs $ixg $cna $vfh $bca $ibkr $ice $kbw $pjb http://t.co/AdIEiHb6
fixedratebonds	1337672400	stocks,pennystock	http://t.co/tmCzEyY5 ft  france to push for eurozone bonds http://t.co/DXKBTlRM pennystock stocks pennystock s http://t.co/42lwqeJk
FOREXcom	1337672353	fx,equities,forex,trading,stocks	the correlations corner  intraday overlay of $audusd & $spx  see chart  http://t.co/8RD3NO5C ^ct forex trading stocks equities fx
tradepips	1337672251	mkt,stocks,charts	$tocktwit$ stocktwits  greenlights einhorn sees housing rebound http://t.co/O23k5CKG $xhb     http://t.co/gbTZuEMw stocks mkt charts
tradepips	1337672251	mkt,stocks,charts	$tocktwit$ stocktwits  10-year ust yield is less than what half of all s&p 500 stocks curre    http://t.co/n1KHmc93 stocks mkt charts
tradepips	1337672250	mkt,stocks,charts	$tocktwit$ stocktwits  madrid has been accused of a desperate ?austerity tax grab? on uk ga    http://t.co/XtDtzs3E stocks mkt charts
OTCEquity	1337672211	pick,stock	is new  02 alert gldn ready to soar? find out here    http://t.co/o8uogZfR stock stock s pick read disclaimer paid ad http://t.co/6QHef7Vu
globalmacro646	1337672198	gdp,stocks,russia	russia   coal steel stocks gain on news of state asset sales pension reforms  gdp revised down to 3 4% from 3 7% http://t.co/WpbPBT4l
Pennystocks24	1337672164	pennystock,stock	$cubv promoted by  pennystock locks at  21  may | 18 31 edt stock stock s pennystock s pennystock
fixedratebonds	1337671849	stocks,pennystock	http://t.co/tmCzEyY5 japan stocks rally after u s  gains  techs oil up pennystock stocks pennystock s http://t.co/pzyzExuW
dow_live	1337671813	stocks,dow	dow live  12504 48 its +135 10 points up online stock market trading at http://t.co/APB59XMI dow stocks
nolanref158	1337671782	stocks	loves making money from doing nothing  stocks
rainmakerOTA	1337671719	stocks,trading,options,futures	rt @TradingAcademy   learn how to apply an effective trading strategy to any asset class - stocks options  currencies futures http://t.co/RchmHFcS
qwe3asd9	1337671686	stocks,think,investingbasics	rt @estellerivers   think smart with penny stocks http://t.co/sq6eMxzi investingbasics stocks ”
TradingAcademy	1337671667	stocks,trading,options,futures	learn how to apply an effective trading strategy to any asset class - stocks options  currencies futures http://t.co/RchmHFcS
estellerivers	1337671627	stocks,think,investingbasics	think smart with penny stocks http://t.co/vvnlGZcj investingbasics stocks ”
DJFunkyGrrL	1337671527	nasdaq,stocks,facebook,ipo,business	some finance experts believe the facebook stock valuation is worth $25 per share and not $38    nasdaq stocks business ipo
fixedratebonds	1337671289	stocks,pennystock	http://t.co/tmCzEyY5 chinese ticket to hollywood pennystock stocks pennystock s http://t.co/HDSFj4q5
Salman_Chaudhri	1337671236	zuckerberg,nasdaq,stocks,facebook	updates  zuckerberg ’s fortune down $2 2 billion today as facebook stocks drop at nasdaq   http://t.co/VFLuwVQ6
OilShaleGas	1337671217	stocks	best penny stocks - may 21 2012 http://t.co/tk6r5NOW stocks $
DJFunkyGrrL	1337671154	fb,stocks,facebook,finance,ipo	facebook stock dropped today from $38 23 to $34 03     &quot mark zuckerberg&quot  lost $2 billion dollars today    stocks finance fb ipo
ValuedMerchants	1337671057	stocks,facebook	http://t.co/DYkQUqzJ the worlds two youngest billionaires lose combined $2 6 billion in one day facebook stocks
fixedratebonds	1337671044	stocks,pennystock	http://t.co/tmCv6YXb japan remains worlds top creditor nation in 2011 pennystock stocks pennystock s http://t.co/evMP0JVX
AllFinance	1337671025	stocks,investingbasics	oldie but a goodie   think smart with penny stocks http://t.co/13KkX6dG investingbasics stocks
fixedratebonds	1337670976	stocks,pennystock	japans nikkei average opens 1% higher at 8721 59 pennystock stocks pennystock s http://t.co/gtevKFip
PlaygroundPosts	1337670936	stocks,market	ray dalio  europe today is like post-revolutionary america http://t.co/ZDD4obJe market stocks
PlaygroundPosts	1337670935	stocks,market	stock watch  volume flows into premier alliance group  otc pimo  trading price spike follows http://t.co/8rGD8Z66 market stocks
traddrtweets	1337670874	mkt,stocks,worden	krull to arms 5-21-2012 facebook anyone? http://t.co/6JOpGzgM mkt stocks worden
howdytweet	1337670874	mkt,stocks,worden	krull to arms 5-21-2012 facebook anyone? http://t.co/6nF6OEv8 mkt stocks worden
fatmattbrown	1337670874	mkt,stocks,worden	krull to arms 5-21-2012 facebook anyone? http://t.co/wIiayOhh mkt stocks worden
